wave_id,matrix_stage,previous_party,current_party,probability,election_cycle
scb_2018M05_original,PUBLISHED_POINT_RAKED,V,V,0.746150792754,2018
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,C,C,0.567834806172,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,C,KD,0.019444654140,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,C,L,0.042084332297,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,C,M,0.101389780322,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,C,MP,0.012873871137,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,C,OTHER,0.011165622822,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,C,S,0.224819489960,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,C,SD,0.009542812812,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,C,V,0.010844630338,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,KD,C,0.047745454915,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,KD,KD,0.509009838061,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,KD,L,0.019083856466,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,KD,M,0.241171212119,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,KD,MP,0.007557030717,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,KD,OTHER,0.025157392802,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,KD,S,0.078622464594,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,KD,SD,0.064787776855,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,KD,V,0.006864973472,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,L,C,0.108101505084,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,L,KD,0.024965108789,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,L,L,0.402271002420,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,L,M,0.224163251341,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,L,MP,0.023493423446,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,L,OTHER,0.001674718308,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,L,S,0.196711086503,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,L,SD,0.016759126497,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,L,V,0.001860777613,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,M,C,0.018788869681,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,M,KD,0.046340151732,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,M,L,0.020270502381,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,M,M,0.753636146647,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,M,MP,0.004076984698,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,M,OTHER,0.004579777989,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,M,S,0.073284855014,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,M,SD,0.075643270414,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,M,V,0.003379441442,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,MP,C,0.034022332981,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,MP,KD,0.000706619473,2022
scb_2022M05,HIERARCHICAL_POSTERIOR_MEAN_RAKED,MP,L,0.022845040101,2022
